Name,Address,Type,Website,Phone,Google Maps
Apex Brewing,"53527 Range Road 181A, Yellowhead County, Canada",Micro,N/A,780-517-7008,http://www.google.com/maps/place/53527%20Range%20Road%20181A+Yellowhead%20County+null+Canada
Archibald,"1530, avenue des Affaires, Québec, Canada",Regional,N/A,N/A,"http://www.google.com/maps/place/1530,%20avenue%20des%20Affaires+Qu%C3%A9bec+QC+Canada"
Archibald Microbrasserie,"1021 Blvd du Lac, Lac-Beauport, Canada",Micro,N/A,(418) 841-2224,http://www.google.com/maps/place/1021%20Blvd%20du%20Lac+Lac-Beauport+QC+Canada
Arrowsmith Brewing Company,"109-425 Stanford Avenue E, Parksville, Canada",Brewpub,http://www.arrowsmithbrewing.com/,01 (250) 951-0125,http://www.google.com/maps/place/109-425%20Stanford%20Avenue%20E+Parksville+BC+Canada
Artisans Ales Limited Partnership,"404-44550 South Sumas Road, Chilliwack, Canada",Micro,N/A,N/A,http://www.google.com/maps/place/404-44550%20South%20Sumas%20Road+Chilliwack+BC+Canada
Ashton Brewing Company,"113-159 Old Mill Road, Beckwith, Canada",Brewpub,http://www.ashtonbrewpub.ca/,(613) 257-4423,http://www.google.com/maps/place/113-159%20Old%20Mill%20Road+Beckwith+ON+Canada
Avling Brewery,"1042 Queen St E, Toronto, Canada",Brewpub,http://avling.ca/,N/A,http://www.google.com/maps/place/1042%20Queen%20St%20E+Toronto+null+Canada
Axe & Barrel Brewing Company,"2323 Millstream Ave, Victoria, Canada",Brewpub,http://www.axeandbarrel.com/,250-474-1989,http://www.google.com/maps/place/2323%20Millstream%20Ave+Victoria+BC+Canada
BNA Brewing Company,"1250 Ellis St., Kelowna, Canada",Brewpub,http://www.bnabrewing.com/,(236) 420-0025,http://www.google.com/maps/place/1250%20Ellis%20St.+Kelowna+BC+Canada
BVM Breweries,"6729 de L'esplanade, Montreal, Canada",Micro,N/A,(514) 908-2337,http://www.google.com/maps/place/6729%20de%20L'esplanade+Montreal+QC+Canada
Baccalieu Trail Brewing Company Ltd.,"1 Conception Bay Highway, Bay Roberts, Canada",Micro,N/A,709-788-2090,http://www.google.com/maps/place/1%20Conception%20Bay%20Highway+Bay%20Roberts+NL+Canada
Backcountry Brewing,"1201 Commercial Way, unit 405, SQUAMISH, Canada",Brewpub,http://www.backcountrybrewing.com/,(604) 849-2663,"http://www.google.com/maps/place/1201%20Commercial%20Way,%20unit%20405+SQUAMISH+BC+Canada"
Bailey Hoefels Household,"399 2nd Ave, Prince George, Canada",Micro,N/A,2506179687,http://www.google.com/maps/place/399%202nd%20Ave+Prince%20George+BC+Canada
Balzac Craft Brewing Company Ltd,"306, 401 Coppers Blvd SW, Airdrie, Canada",Taproom,http://www.balzaccraftbrewing.com/,N/A,"http://www.google.com/maps/place/306,%20401%20Coppers%20Blvd%20SW+Airdrie+AB+Canada"
Banded Goose Brewing Company,"31 Division Street South, Kingsville, Canada",Brewpub,http://www.jacksgastropub.com/,(519) 733-6900,http://www.google.com/maps/place/31%20Division%20Street%20South+Kingsville+ON+Canada
Banded Peak Brewing,"119-519 34th Ave SE, Calgary, Canada",Regional,N/A,N/A,http://www.google.com/maps/place/119-519%2034th%20Ave%20SE+Calgary+AB+Canada
Bandit Brewery,"2125 Dundas St W, Toronto, Canada",Brewpub,http://www.banditbrewery.ca/,01 (647) 529-0321,http://www.google.com/maps/place/2125%20Dundas%20St%20W+Toronto+ON+Canada
Bar Volo,"28 Dundonald St, Suite 1, Toronto, Canada",Brewpub,http://www.barvolo.com/,(416) 920-2434,"http://www.google.com/maps/place/28%20Dundonald%20St,%20Suite%201+Toronto+ON+Canada"
BarNone Brewery and Hop Farm,"4248 Route 225, Breadalbane, Canada",Micro,N/A,902-394-6897,http://www.google.com/maps/place/4248%20Route%20225+Breadalbane+PE+Canada
Baril Roulant,"1430 Rue De L'Académie, Val-David, Canada",Micro,http://barilroulant.com/,819-322-2280,http://www.google.com/maps/place/1430%20Rue%20De%20L'Acad%C3%A9mie+Val-David+QC+Canada
Barkerville Brewing Co.,"185 Davie St, Quesnel, Canada",Micro,N/A,(778) 414-2739,http://www.google.com/maps/place/185%20Davie%20St+Quesnel+null+Canada
Barley Days Brewery,"13730 Loyalist Pkwy, Prince Edward, Canada",Micro,N/A,(613) 476-7468,http://www.google.com/maps/place/13730%20Loyalist%20Pkwy+Prince%20Edward+ON+Canada
Barley Mill Brew Pub,"6155 Rochdale Blvd, Regina, Canada",Brewpub,N/A,(306) 949-1500,http://www.google.com/maps/place/6155%20Rochdale%20Blvd+Regina+SK+Canada
"Barley Mill Brewpub, The","2460 Skaha Lake Road, Penticton, Canada",Brewpub,http://www.barleymillpub.com/,(250) 493-8000,http://www.google.com/maps/place/2460%20Skaha%20Lake%20Road+Penticton+BC+Canada
Barley Station Brewpub,"20 Shuswap Street N, Salmon Arm, Canada",Brewpub,http://www.barleystation.com/,(250) 832-0999,http://www.google.com/maps/place/20%20Shuswap%20Street%20N+Salmon%20Arm+BC+Canada
Barnside Brewing Co.,"6655 60 Ave, Delta, Canada",Micro,http://placeholder/,7784342264,http://www.google.com/maps/place/6655%2060%20Ave+Delta+BC+Canada
Barnstormer Brewing,"384 Yonge Street, Barrie, Canada",Brewpub,http://www.barnstormerbrewing.com/,(705) 481-1701,http://www.google.com/maps/place/384%20Yonge%20Street+Barrie+ON+Canada
Barnstormer Brewing and Distilling Co.,"3-384 Yonge Street, Barrie, Canada",Brewpub,http://www.barnstormerbrewing.com/,00 (705) 481-1701,http://www.google.com/maps/place/3-384%20Yonge%20Street+Barrie+ON+Canada
Bayside Brewing Company,"970 Ross Ln, Erieau, Canada",Micro,http://www.baysidebrewing.com/,01 (519) 676-1888,http://www.google.com/maps/place/970%20Ross%20Ln+Erieau+ON+Canada
Bearhill,"607 11th Ave SW, Calgary, Canada",Brewpub,http://www.bearhill.ca/,(587) 572-9336,http://www.google.com/maps/place/607%2011th%20Ave%20SW+Calgary+AB+Canada
Beau's All Natural Brewing Co,"10 Terry Fox Dr, Vankleek Hill, Canada",Regional,http://www.beaus.ca/,(613) 678-2799,http://www.google.com/maps/place/10%20Terry%20Fox%20Dr+Vankleek%20Hill+ON+Canada
Bedondaine & Bedons Ronds,"255 Rue Ostiguy, Chambly, Canada",Micro,http://www.bedondaine.com/,(450) 447-5165,http://www.google.com/maps/place/255%20Rue%20Ostiguy+Chambly+QC+Canada
Beere Brewing Company,"312 Esplande E, North Vancouver, Canada",Micro,http://www.beerebrewing.com/,(604) 619-0907,http://www.google.com/maps/place/312%20Esplande%20E+North%20Vancouver+BC+Canada
Belgh Brasse,"8 De La Brasserie, Amos, Canada",Micro,http://www.belghbrasse.com/,(819) 442-3839,http://www.google.com/maps/place/8%20De%20La%20Brasserie+Amos+QC+Canada
Bellwood's Brewery,"124 Ossington Ave, Toronto, Canada",Brewpub,http://www.bellwoodsbrewery.com/,416-535-4586,http://www.google.com/maps/place/124%20Ossington%20Ave+Toronto+ON+Canada
Bench Brewing Company,"3991 King St, Beamsville, Canada",Micro,http://www.benchbrewing.com/,905-562-3991,http://www.google.com/maps/place/3991%20King%20St+Beamsville+ON+Canada
Benelux Brasserie Artisanale Et Cafe,"3160 Rue Nolet, Brossard, Canada",Brewpub,http://none/,(438) 390-2350,http://www.google.com/maps/place/3160%20Rue%20Nolet+Brossard+QC+Canada
Better Bitters Brewing Co,"864 Drury Lane, Burlington, Canada",Micro,http://www.nickelbrook.com/,(905) 966-1471,http://www.google.com/maps/place/864%20Drury%20Lane+Burlington+ON+Canada
Beyond the Pale,"250 City Centre Ave #108, Otawa, Canada",Micro,http://www.beyondthepale.ca/,(613) 668-2337,http://www.google.com/maps/place/250%20City%20Centre%20Ave%20#108+Otawa+ON+Canada
Bicycle Craft Brewery,"850 Industrial Ave #12, Ottawa, Canada",Micro,http://www.bicyclecraftbrewery.ca/,613-733-2337,http://www.google.com/maps/place/850%20Industrial%20Ave%20#12+Ottawa+ON+Canada
Bierbrier Brewing Inc,"1250 Rene-Levesque West Suite 2200, Montreal, Canada",Micro,http://www.bierbrier.com/,(514) 933-7576,http://www.google.com/maps/place/1250%20Rene-Levesque%20West%20Suite%202200+Montreal+QC+Canada
Big Axe Brewery,"519 Otis Dr, Nackawic, Canada",Micro,http://www.bigaxe.ca/,(506) 575-1093,http://www.google.com/maps/place/519%20Otis%20Dr+Nackawic+NB+Canada
Big Ridge Brewing Co,"5580 152 St, Surrey, Canada",Brewpub,N/A,(604) 574-2739,http://www.google.com/maps/place/5580%20152%20St+Surrey+BC+Canada
Big Ridge Brewing Company,"5580 152 St, Surrey, Canada",Brewpub,http://www.mjg.ca/big-ridge,(604) 574-2739,http://www.google.com/maps/place/5580%20152%20St+Surrey+BC+Canada
Big Rig Brewery,"2750 Iris Street, Ottawa, Canada",Micro,N/A,(613) 688-3336,http://www.google.com/maps/place/2750%20Iris%20Street+Ottawa+ON+Canada
Big Rig Brewey,"103 Schneider rd, Kanata, Canada",Micro,http://www.bigrigbrewey.com/,01 (613) 371-4655,http://www.google.com/maps/place/103%20Schneider%20rd+Kanata+ON+Canada
Big River Brewing Co,"14200 Entertainment Way, #180, Richmond, Canada",Micro,N/A,(604) 271-2739,"http://www.google.com/maps/place/14200%20Entertainment%20Way,%20#180+Richmond+BC+Canada"
Big Rock Brewery Ltd,"5555 76th Ave SE, Calgary, Canada",Regional,http://www.bigrockbrewery.com/,403-720-3239,http://www.google.com/maps/place/5555%2076th%20Ave%20SE+Calgary+AB+Canada
Big Tide Brewing Company,"47 Princess St, Saint John, Canada",Brewpub,http://www.bigtidebrew.com/,(506) 214-3311,http://www.google.com/maps/place/47%20Princess%20St+Saint%20John+NB+Canada
Bishop's University Arches Brewery,"2600 College St, Sherbrooke, Canada",Micro,N/A,8198229600 ext 2090,http://www.google.com/maps/place/2600%20College%20St+Sherbrooke+QC+Canada
Bistro Brasserie Les Soeurs Grises,"32 Rue McGill, Montreal, Canada",Brewpub,http://www.bblsg.com/,(514) 788-7635,http://www.google.com/maps/place/32%20Rue%20McGill+Montreal+QC+Canada
Bistro L'Autre Oeil,"152 Rue Principale, Gatineau, Canada",Taproom,http://www.bistrolao.com/,(819) 682-1221,http://www.google.com/maps/place/152%20Rue%20Principale+Gatineau+QC+Canada
Black Bellows Brewing Company,N/A,Contract,http://blackbellows.com/,(705) 532-1569,http://www.google.com/maps/place/37%20Walnut%20Street+Collingwood+ON+Canada
Black Bridge Brewery Ltd,"295 Alexander Drive, Swift Current, Canada",Micro,http://www.blackbridgebrewery.ca/,13067734404,http://www.google.com/maps/place/295%20Alexander%20Drive+Swift%20Current+SK+Canada
Black Creek Historic Brewery,"1000 Murray Ross Pkwy, Toronto, Canada",Brewpub,http://www.blackcreekbrewery.ca/,(416) 736-1733,http://www.google.com/maps/place/1000%20Murray%20Ross%20Pkwy+Toronto+ON+Canada
Black Oak Brewing Co,"75 Horner Ave, Toronto, Canada",Micro,http://www.blackoakbeer.com/,(416) 252-2739,http://www.google.com/maps/place/75%20Horner%20Ave+Toronto+ON+Canada
Black Swan Brewing Company,"144 Downie St, Stratford, Canada",Micro,http://www.blackswanbrewing.ca/,(519) 814-7926,http://www.google.com/maps/place/144%20Downie%20St+Stratford+ON+Canada
Blind Enthusiasm Brewing Company,"9570 76 Ave NW, Edmonton, Canada",Brewpub,http://www.blindenthusiasm.ca/,N/A,http://www.google.com/maps/place/9570%2076%20Ave%20NW+Edmonton+AB+Canada
Blindman Brewing,"Bay F - 3413 53 Avenue, Lacombe, Canada",Micro,http://www.blindmanbrewing.com/,(403) 786-2337,http://www.google.com/maps/place/Bay%20F%20-%203413%2053%20Avenue+Lacombe+null+Canada
Block Three Brewing Company,"1430-2 King Street North, St. Jacobs, Canada",Micro,N/A,519-664-1001,http://www.google.com/maps/place/1430-2%20King%20Street%20North+St.%20Jacobs+ON+Canada
Blood Brothers Brewing,"165 Geary Ave, Toronto, Canada",Taproom,http://www.bloodbrothersbrewing.com/,N/A,http://www.google.com/maps/place/165%20Geary%20Ave+Toronto+ON+Canada
Bobcaygeon Brewing Company,N/A,Contract,http://bobcaygeonbrewing.ca/,(705) 243-7077,http://www.google.com/maps/place/1%20Fallingbrook%20Woods+Toronto+ON+Canada
Bomber Brewing Co.,"1488 Adanac St, Vancouver, Canada",Micro,http://www.bomberbrewing.com/,(604) 428-7457,http://www.google.com/maps/place/1488%20Adanac%20St+Vancouver+BC+Canada
Bonzzinis Brewpub,"4634 Albert St, Regina, Canada",Brewpub,N/A,(306) 586-3553,http://www.google.com/maps/place/4634%20Albert%20St+Regina+SK+Canada
Boomstick Brewing,"55 West St, Corner Brook, Canada",Micro,N/A,N/A,http://www.google.com/maps/place/55%20West%20St+Corner%20Brook+null+Canada
Boquebiere,"50 Rue Wellington Nord, Sherbrooke, Canada",Brewpub,http://www.boquebiere.com/,(819) 542-1311,http://www.google.com/maps/place/50%20Rue%20Wellington%20Nord+Sherbrooke+QC+Canada
Bowen Island Brewing Co,N/A,Contract,http://www.bowenislandbeer.com/,(250) 851-2543,http://www.google.com/maps/place/965%20McGill%20Pl+Kamloops+BC+Canada
Boxing Rock Brewing Company,"78 Ohio Road, Shelburne, Canada",Micro,http://www.boxingrock.ca/,01 (902) 494-9233,http://www.google.com/maps/place/78%20Ohio%20Road+Shelburne+NS+Canada
Brasserie Artisanale & Bistro / Reservoir,"9 DuLuth Est, Montreal, Canada",Brewpub,http://www.brasseriereservoir.ca/,(514) 849-7779,http://www.google.com/maps/place/9%20DuLuth%20Est+Montreal+QC+Canada
Brasserie Artisanale Le Saint Graal,"32 Rue Turgeon, Sainte-Thérèse, Canada",Brewpub,http://www.saintgraal.ca/,45081816039,http://www.google.com/maps/place/32%20Rue%20Turgeon+Sainte-Th%C3%A9r%C3%A8se+QC+Canada
Brasserie Belgh Brasse,"8 rue de la Brasserie, Amos, Canada",Micro,N/A,(819) 732-6519,http://www.google.com/maps/place/8%20rue%20de%20la%20Brasserie+Amos+QC+Canada
Brasserie Black Bridge,"P.O Box 1533, Kahnawake, Canada",Brewpub,http://www.blackbridgebrewing.com/,01 (514) 233-2451,http://www.google.com/maps/place/P.O%20Box%201533+Kahnawake+QC+Canada
Brasserie Dieu Du Ciel,"259 rue de Villemure, Saint Jerome, Canada",Micro,http://www.dieuduciel.com/,514-490-9555,http://www.google.com/maps/place/259%20rue%20de%20Villemure+Saint%20Jerome+QC+Canada
Brasserie Dunham,"3809 Rue Principale, Dunham, Canada",Micro,http://www.brasseriedunham.com/,(450) 295-1500,http://www.google.com/maps/place/3809%20Rue%20Principale+Dunham+QC+Canada
Brasserie La Korrigane,"380 Rue Dorchester, Quebec, Canada",Brewpub,http://www.korrigane.ca/,(418) 614-0932,http://www.google.com/maps/place/380%20Rue%20Dorchester+Quebec+QC+Canada
Brasserie Le Cardinal,"5420 Martineau, St-Hyacinthe, Canada",Brewpub,http://www.lecardinal-brasserie.ch/,(800) 945-1934,http://www.google.com/maps/place/5420%20Martineau+St-Hyacinthe+QC+Canada
Brasserie Le Chaudron,"107 Boulevard De Bromont, Bromont, Canada",Micro,N/A,450-534-0001,http://www.google.com/maps/place/107%20Boulevard%20De%20Bromont+Bromont+QC+Canada
Brasserie Le Trou Du Diable,"412 Avenue Willow, Shawinigan, Canada",Brewpub,http://www.troududiable.com/,(819) 537-9151,http://www.google.com/maps/place/412%20Avenue%20Willow+Shawinigan+QC+Canada
Brasserie McAuslan,"5080 rue St Ambroise, Montreal, Canada",Regional,http://www.mcauslan.com/,(514) 939-3060,http://www.google.com/maps/place/5080%20rue%20St%20Ambroise+Montreal+QC+Canada
Brasserie New Deal Brewery Co.,"1500 Nobel Street, Boucherville, Canada",Micro,http://www.brasserie-newdeal.com/,(514) 312-3035,http://www.google.com/maps/place/1500%20Nobel%20Street+Boucherville+QC+Canada
Brasserie Saint-Antoine-Abbe,"3299 QC-209, Franklin, Canada",Brewpub,http://www.brasserie-saint-antoine-abbe.com/,(450) 826-4609,http://www.google.com/maps/place/3299%20QC-209+Franklin+QC+Canada
Brasserie Tchèquebec,"4245 Route Marie-Victorin, Contrecoeur, Canada",Micro,N/A,(450) 587-2122,http://www.google.com/maps/place/4245%20Route%20Marie-Victorin+Contrecoeur+QC+Canada
Brasserie du Bas-Canada,"103-455 BLVD DE LA GAPPE, Gatineau, Canada",Micro,http://brasseriebascanada.com/,N/A,http://www.google.com/maps/place/103-455%20BLVD%20DE%20LA%20GAPPE+Gatineau+QC+Canada
Brasserie du Bois Blanc,"518 rue Main, Hudson, Canada",Micro,http://www.boisblanc.ca/,01 (450) 613-1506,http://www.google.com/maps/place/518%20rue%20Main+Hudson+QC+Canada
Brasserie la Mouche,"33 Chemin De LAeroport, Natashquan, Canada",Micro,http://blamouche.com/,01 (418) 553-0722,http://www.google.com/maps/place/33%20Chemin%20De%20LAeroport+Natashquan+QC+Canada
Brasseries BVM du Canada,"6729 Avenue De L`Esplanade, Montreal, Canada",Micro,N/A,(514) 908-2337,http://www.google.com/maps/place/6729%20Avenue%20De%20L%60Esplanade+Montreal+QC+Canada
Brasseurs De Montreal Inc,"1485 Ottawa St, Montreal, Canada",Brewpub,N/A,514-788-4500,http://www.google.com/maps/place/1485%20Ottawa%20St+Montreal+QC+Canada
Brasseurs Du Monde,"3755 Rue Picard Porte 2, Saint-Hyacinthe, Canada",Micro,http://www.brasseursdumonde.ca/,4502502611,http://www.google.com/maps/place/3755%20Rue%20Picard%20Porte%202+Saint-Hyacinthe+QC+Canada
Brasseurs GMT,"5585 Rue De La Roche, Montreal, Canada",Micro,N/A,(514) 274-4941,http://www.google.com/maps/place/5585%20Rue%20De%20La%20Roche+Montreal+QC+Canada
Brasseurs Illimites,"385 Rue Du Parc, Saint-Eustache, Canada",Micro,http://www.brasseursillimites.com/,(450) 598-1363,http://www.google.com/maps/place/385%20Rue%20Du%20Parc+Saint-Eustache+QC+Canada
Brasseurs Petit Sault,"45 De L'Eglise St, Edmundston, Canada",Micro,http://www.petitsault.com/,(506) 733-1313,http://www.google.com/maps/place/45%20De%20L'Eglise%20St+Edmundston+NB+Canada
Brasseurs RJ,"5585 Rue de la Roche, Montreal, Canada",Regional,http://www.brasseursrj.com/,(514) 274-4941,http://www.google.com/maps/place/5585%20Rue%20de%20la%20Roche+Montreal+QC+Canada
Brasseurs Sans Gluten,"2350 Dickson, Montreal, Canada",Micro,http://glutenberg.ca/,(514) 933-2333,http://www.google.com/maps/place/2350%20Dickson+Montreal+QC+Canada
Brasseurs et Freres,"3809 rue Principale, Durham, Canada",Micro,http://www.betf.ca/,(450) 247-2393,http://www.google.com/maps/place/3809%20rue%20Principale+Durham+QC+Canada
Brassneck Brewery,"2148 Main St., Vancouver, Canada",Micro,N/A,604-259-7686,http://www.google.com/maps/place/2148%20Main%20St.+Vancouver+BC+Canada
Brassuer De Montreal Brewing Company,"1483 Ottawa, Montreal, Canada",Brewpub,http://www.brasseurdemontreal.com/,(514) 788-4500,http://www.google.com/maps/place/1483%20Ottawa+Montreal+QC+Canada
Brauwerk Hoffman,"1298 Route 148, Campbell's Bay, Canada",Micro,http://www.angloprussianhops.ca/,(613) 732-0388,http://www.google.com/maps/place/1298%20Route%20148+Campbell's%20Bay+QC+Canada
Brazen Brewing Company,"800 Pembina Hwy, Winnipeg, Canada",Brewpub,http://www.brazenbrewing.ca/,(204) 453-7980,http://www.google.com/maps/place/800%20Pembina%20Hwy+Winnipeg+MB+Canada
BreWskey Pub & Taproom,"350-C20 Rue Saint-Paul Est, Montreal, Canada",Brewpub,http://brewskey.ca/,5145072739,http://www.google.com/maps/place/350-C20%20Rue%20Saint-Paul%20Est+Montreal+QC+Canada
Breton Brewing Co,"364 Kelitc Dr, Sydney, Canada",Micro,N/A,902-270-4677,http://www.google.com/maps/place/364%20Kelitc%20Dr+Sydney+NS+Canada
Brew Brothers Brewing Co,"PO Box 82015 RPO Scarboro, Calgary, Canada",Micro,N/A,(403) 258-2739,http://www.google.com/maps/place/PO%20Box%2082015%20RPO%20Scarboro+Calgary+AB+Canada
Brewery In Planning - Chambly,N/A,Contract,N/A,43 (899) 225-71,http://www.google.com/maps/place/2400%20rue%20de%20Bourgogne+Chambly+QC+Canada
Brewsmith Brewing Company,N/A,N/A,N/A,N/A,N/A
Brewsters Brewing Co.,"2335 111 Street, Edmonton, Canada",Regional,http://www.brewstersbrewingco.com/,(780) 429-4677,http://www.google.com/maps/place/2335%20111%20Street+Edmonton+AB+Canada
Brewsters Brewing Co. - Crowfoot Crossing,"25 Crowfoot Terrace NW, Calgary, Canada",Brewpub,http://www.brewstersbrewingco.com/,(403) 208-2739,http://www.google.com/maps/place/25%20Crowfoot%20Terrace%20NW+Calgary+AB+Canada
Brewsters Brewing Co. - Eau Clair Market,"101 Barclay Parade SW, Calgary, Canada",Brewpub,http://www.brewstersbrewingco.com/,(403) 233-2739,http://www.google.com/maps/place/101%20Barclay%20Parade%20SW+Calgary+AB+Canada
Brewsters Brewing Co. - Eleventh Ave,N/A,Contract,http://www.brewstersbrewingco.com/,(403) 265-2739,http://www.google.com/maps/place/834%2011th%20Ave%20SW+Calgary+AB+Canada
Brewsters Brewing Co. - Foothills,"5519 53rd Street SE, Calgary, Canada",Brewpub,http://www.brewstersbrewingco.com/,(403) 723-2739,http://www.google.com/maps/place/5519%2053rd%20Street%20SE+Calgary+AB+Canada
Brewsters Brewing Co. - Lake Bonavista,"25 Crowfoot Terrace NW, Calgary, Canada",Brewpub,http://www.brewstersbrewingco.com/,(403) 225-2739,http://www.google.com/maps/place/25%20Crowfoot%20Terrace%20NW+Calgary+AB+Canada
Brewsters Brewing Co. - Lakeside Landing,"15327 Castledowns Road, Edmonton, Canada",Brewpub,http://www.brewstersbrewingco.com/,(403) 208-2739,http://www.google.com/maps/place/15327%20Castledowns%20Road+Edmonton+AB+Canada
Brewsters Brewing Co. - Landmark,"4180 Albert St., Regina, Canada",Brewpub,http://www.brewstersbrewingco.com/,(306) 757-2739,http://www.google.com/maps/place/4180%20Albert%20St.+Regina+SK+Canada
Brewsters Brewing Co. - Meadowlark,"15820 87th Avenue, Edmonton, Canada",Brewpub,http://www.brewstersbrewingco.com/,(780) 421-4677,http://www.google.com/maps/place/15820%2087th%20Avenue+Edmonton+AB+Canada
Brewsters Brewing Co. - Normanview,"480 North McCarthy Blvd, Regina, Canada",Brewpub,http://www.brewstersbrewingco.com/,(306) 522-2739,http://www.google.com/maps/place/480%20North%20McCarthy%20Blvd+Regina+SK+Canada
Brewsters Brewing Co. - Oliver Square,"11620 104th Ave, Edmonton, Canada",Brewpub,http://www.brewstersbrewingco.com/,(780) 482-4677,http://www.google.com/maps/place/11620%20104th%20Ave+Edmonton+AB+Canada
Brewsters Brewing Co. - Victoria East,"1832 Victoria Ave E, Regina, Canada",Brewpub,http://www.brewstersbrewingco.com/,(306) 761-1500,http://www.google.com/maps/place/1832%20Victoria%20Ave%20E+Regina+SK+Canada
Brick Brewing Co Ltd,"181 King St S, Waterloo, Canada",Regional,http://www.brickbeer.com/,(519) 576-9100,http://www.google.com/maps/place/181%20King%20St%20S+Waterloo+ON+Canada
Bridge Brewing Company,"1448 Charlotte Road, North Vancouver, Canada",Micro,http://www.bridgebrewing.com/,(604) 770-2739,http://www.google.com/maps/place/1448%20Charlotte%20Road+North%20Vancouver+BC+Canada
